"bill_id","legislator_id","MemberName","BillName","Vote"
"ga2017HB158",99,"Riggs","HB158","YAY"
"ga2017HB390",99,"Riggs","HB390","YEA"
"ga2017HB072",99,"Riggs","HB072","NAY"
"ga2017HB225",99,"Riggs","HB225","YAY"
"ga2017SB075",99,"Riggs","SB075","NAY"
"ga2017HB284",99,"Riggs","HB284","YAY"
"ga2017HB482",99,"Riggs","HB482","NV"
"ga2017HB360",99,"Riggs","HB360","NV"
"ga2017HB410",99,"Riggs","HB410","YAY"
"ga2017SB003",99,"Riggs","SB003","YEA"
"ga2017HB167",99,"Riggs","HB167","YAY"
"ga2017HB347",99,"Riggs","HB347","YAY"
"ga2017HB425",99,"Riggs","HB425","YAY"
"ga2017HB075",99,"Riggs","HB075","YAY"
"ga2017HB324",99,"Riggs","HB324","YAY"
"ga2017SB032",99,"Riggs","SB032","YEA"
"ga2017HB174",99,"Riggs","HB174","YAY"
"ga2017HB312",99,"Riggs","HB312","YAY"
"ga2017HB315",99,"Riggs","HB315","YAY"
"ga2017SB238",99,"Riggs","SB238","YAY"
"ga2017HB163",99,"Riggs","HB163","YAY"
"ga2017HB074",99,"Riggs","HB074","YAY"
"ga2017HB364",99,"Riggs","HB364","YEA"
"ga2017HB289",99,"Riggs","HB289","YAY"
"ga2017SB117",99,"Riggs","SB117","YAY"
"ga2017SB197",99,"Riggs","SB197","YAY"
"ga2017HB387",99,"Riggs","HB387","YAY"
"ga2017HB376",99,"Riggs","HB376","NAY"
"ga2017HB270",99,"Riggs","HB270","YAY"
"ga2017HB454",99,"Riggs","HB454","NV"
"ga2017HB096",99,"Riggs","HB096","YAY"
"ga2017SB122",99,"Riggs","SB122","YAY"
"ga2017SB017",99,"Riggs","SB017","YAY"
"ga2017SB010",99,"Riggs","SB010","YAY"
"ga2017HB375",99,"Riggs","HB375","YAY"
"ga2017SB050",99,"Riggs","SB050","YAY"
"ga2017HB318",99,"Riggs","HB318","YAY"
"ga2017SB151",99,"Riggs","SB151","NAY"
"ga2017HB129",99,"Riggs","HB129","YAY"
"ga2017HB473",99,"Riggs","HB473","NV"
"ga2017HB244",99,"Riggs","HB244","YAY"
"ga2017HB122",99,"Riggs","HB122","YAY"
"ga2017HB144",99,"Riggs","HB144","YAY"
"ga2017SB129",99,"Riggs","SB129","YAY"
"ga2017SB147",99,"Riggs","SB147","YAY"
"ga2017HB366",99,"Riggs","HB366","YAY"
"ga2017HB492",99,"Riggs","HB492","YAY"
"ga2017HB471",99,"Riggs","HB471","NV"
"ga2017HB116",99,"Riggs","HB116","YAY"
"ga2017HCR59",99,"Riggs","HCR59","YEA"
"ga2017HB035",99,"Riggs","HB035","YAY"
"ga2017SB189",99,"Riggs","SB189","YAY"
"ga2017HB265",99,"Riggs","HB265","YAY"
"ga2017HB095",99,"Riggs","HB095","NV"
"ga2017HB408",99,"Riggs","HB408","NV"
"ga2017SB073",99,"Riggs","SB073","YAY"
"ga2017SB153",99,"Riggs","SB153","NAY"
"ga2017SB104",99,"Riggs","SB104","YEA"
"ga2017HB242",99,"Riggs","HB242","YAY"
"ga2017HB498",99,"Riggs","HB498","YAY"
"ga2017SB114",99,"Riggs","SB114","YAY"
"ga2017HB377",99,"Riggs","HB377","YAY"
"ga2017HCR48",99,"Riggs","HCR48","NAY"
"ga2017HB226",99,"Riggs","HB226","YAY"
"ga2017HB014",99,"Riggs","HB014","YAY"
"ga2017HB368",99,"Riggs","HB368","YAY"
"ga2017SB038",99,"Riggs","SB038","YAY"
"ga2017HB304",99,"Riggs","HB304","YAY"
"ga2017HB067",99,"Riggs","HB067","YAY"
"ga2017HB100",99,"Riggs","HB100","YAY"
"ga2017HB516",99,"Riggs","HB516","NV"
"ga2017SB083",99,"Riggs","SB083","YEA"
"ga2017HB343",99,"Riggs","HB343","NAY"
"ga2017SB183",99,"Riggs","SB183","YAY"
"ga2017HB252",99,"Riggs","HB252","YAY"
"ga2017SB126",99,"Riggs","SB126","YEA"
"ga2017SB163",99,"Riggs","SB163","YAY"
"ga2017HB033",99,"Riggs","HB033","YAY"
"ga2017HB404",99,"Riggs","HB404","NV"
"ga2017SB176",99,"Riggs","SB176","YAY"
"ga2017HB524",99,"Riggs","HB524","NV"
"ga2017HB396",99,"Riggs","HB396","NV"
