"legislator_id","bill_id","bill","sponsors"
3,"ga2017SB226","SB226","R. Alvarado"
3,"ga2017SB006","SB006","R. Alvarado"
3,"ga2017SB164","SB164","R. Alvarado"
3,"ga2017SB099","SB099","R. Alvarado"
3,"ga2017SB094","SB094","R. Alvarado"
3,"ga2017SB091","SB091","R. Alvarado"
3,"ga2017SB078","SB078","R. Alvarado"
3,"ga2017SB079","SB079","R. Alvarado"
3,"ga2017SB003","SB003","R. Alvarado"
3,"ga2017SB018","SB018","R. Alvarado"
3,"ga2017SB004","SB004","R. Alvarado"
3,"ga2017SB089","SB089","R. Alvarado"
3,"ga2017SB108","SB108","R. Alvarado"
3,"ga2017SB236","SB236","R. Alvarado"
3,"ga2017SB005","SB005","R. Alvarado"
3,"ga2017SB093","SB093","R. Alvarado"
3,"ga2017SB019","SB019","R. Alvarado"
3,"ga2017SB032","SB032","R. Alvarado"
3,"ga2017SB085","SB085","R. Alvarado"
35,"ga2017SB004","SB004","R. Girdler"
35,"ga2017SB162","SB162","R. Girdler"
35,"ga2017SB014","SB014","R. Girdler"
35,"ga2017SB189","SB189","R. Girdler"
35,"ga2017SB032","SB032","R. Girdler"
35,"ga2017SB007","SB007","R. Girdler"
35,"ga2017SB156","SB156","R. Girdler"
35,"ga2017SB017","SB017","R. Girdler"
35,"ga2017SB002","SB002","R. Girdler"
35,"ga2017SB226","SB226","R. Girdler"
35,"ga2017SB019","SB019","R. Girdler"
35,"ga2017SB114","SB114","R. Girdler"
35,"ga2017SB163","SB163","R. Girdler"
35,"ga2017SB112","SB112","R. Girdler"
35,"ga2017SB117","SB117","R. Girdler"
35,"ga2017SB009","SB009","R. Girdler"
35,"ga2017SB178","SB178","R. Girdler"
35,"ga2017SB008","SB008","R. Girdler"
35,"ga2017SB001","SB001","R. Girdler"
35,"ga2017SB029","SB029","R. Girdler"
35,"ga2017SB123","SB123","R. Girdler"
35,"ga2017SB005","SB005","R. Girdler"
35,"ga2017SB099","SB099","R. Girdler"
35,"ga2017SB003","SB003","R. Girdler"
35,"ga2017SB026","SB026","R. Girdler"
35,"ga2017SB177","SB177","R. Girdler"
35,"ga2017SB128","SB128","R. Girdler"
57,"ga2017SB077","SB077","R. Jones II"
118,"ga2017SB012","SB012","R. Stivers II"
118,"ga2017SB107","SB107","R. Stivers II"
121,"ga2017SB023","SB023","R. Thomas"
121,"ga2017SB108","SB108","R. Thomas"
121,"ga2017SB029","SB029","R. Thomas"
121,"ga2017SB024","SB024","R. Thomas"
121,"ga2017SB137","SB137","R. Thomas"
121,"ga2017SB168","SB168","R. Thomas"
121,"ga2017SB022","SB022","R. Thomas"
121,"ga2017SB202","SB202","R. Thomas"
121,"ga2017SB199","SB199","R. Thomas"
121,"ga2017SB204","SB204","R. Thomas"
121,"ga2017SB063","SB063","R. Thomas"
121,"ga2017SB091","SB091","R. Thomas"
121,"ga2017SB131","SB131","R. Thomas"
121,"ga2017SB084","SB084","R. Thomas"
121,"ga2017SB044","SB044","R. Thomas"
121,"ga2017SB046","SB046","R. Thomas"
121,"ga2017SB033","SB033","R. Thomas"
121,"ga2017SB072","SB072","R. Thomas"
121,"ga2017SB250","SB250","R. Thomas"
121,"ga2017SB090","SB090","R. Thomas"
121,"ga2017SB056","SB056","R. Thomas"
121,"ga2017SB113","SB113","R. Thomas"
121,"ga2017SB172","SB172","R. Thomas"
121,"ga2017SB169","SB169","R. Thomas"
129,"ga2017SB199","SB199","R. Webb"
129,"ga2017SB007","SB007","R. Webb"
129,"ga2017SB172","SB172","R. Webb"
129,"ga2017SB246","SB246","R. Webb"
129,"ga2017SB138","SB138","R. Webb"
129,"ga2017SB056","SB056","R. Webb"
129,"ga2017SB139","SB139","R. Webb"
52,"ga2017SB091","SB091","S. Humphries"
52,"ga2017SB136","SB136","S. Humphries"
52,"ga2017SB130","SB130","S. Humphries"
52,"ga2017SB048","SB048","S. Humphries"
52,"ga2017SB226","SB226","S. Humphries"
52,"ga2017SB004","SB004","S. Humphries"
52,"ga2017SB011","SB011","S. Humphries"
73,"ga2017SB116","SB116","S. Meredith"
73,"ga2017SB099","SB099","S. Meredith"
73,"ga2017SB205","SB205","S. Meredith"
73,"ga2017SB151","SB151","S. Meredith"
73,"ga2017SB042","SB042","S. Meredith"
73,"ga2017SB031","SB031","S. Meredith"
73,"ga2017SB014","SB014","S. Meredith"
73,"ga2017SB004","SB004","S. Meredith"
73,"ga2017SB032","SB032","S. Meredith"
73,"ga2017SB138","SB138","S. Meredith"
73,"ga2017SB154","SB154","S. Meredith"
73,"ga2017SB007","SB007","S. Meredith"
73,"ga2017SB008","SB008","S. Meredith"
73,"ga2017SB015","SB015","S. Meredith"
73,"ga2017SB005","SB005","S. Meredith"
73,"ga2017SB001","SB001","S. Meredith"
73,"ga2017SB112","SB112","S. Meredith"
132,"ga2017SB217","SB217","S. West"
132,"ga2017SB057","SB057","S. West"
132,"ga2017SB007","SB007","S. West"
132,"ga2017SB165","SB165","S. West"
132,"ga2017SB226","SB226","S. West"
132,"ga2017SB001","SB001","S. West"
132,"ga2017SB213","SB213","S. West"
132,"ga2017SB014","SB014","S. West"
132,"ga2017SB009","SB009","S. West"
132,"ga2017SB099","SB099","S. West"
132,"ga2017SB008","SB008","S. West"
132,"ga2017SB176","SB176","S. West"
132,"ga2017SB011","SB011","S. West"
12,"ga2017SB152","SB152","T. Buford"
12,"ga2017SB074","SB074","T. Buford"
12,"ga2017SB083","SB083","T. Buford"
12,"ga2017SB124","SB124","T. Buford"
12,"ga2017SB014","SB014","T. Buford"
12,"ga2017SB179","SB179","T. Buford"
12,"ga2017SB125","SB125","T. Buford"
12,"ga2017SB174","SB174","T. Buford"
12,"ga2017SB135","SB135","T. Buford"
12,"ga2017SB015","SB015","T. Buford"
12,"ga2017SB136","SB136","T. Buford"
12,"ga2017SB097","SB097","T. Buford"
12,"ga2017SB062","SB062","T. Buford"
12,"ga2017SB098","SB098","T. Buford"
12,"ga2017SB099","SB099","T. Buford"
12,"ga2017SB180","SB180","T. Buford"
12,"ga2017SB219","SB219","T. Buford"
12,"ga2017SB009","SB009","T. Buford"
12,"ga2017SB105","SB105","T. Buford"
12,"ga2017SB112","SB112","T. Buford"
12,"ga2017SB055","SB055","T. Buford"
12,"ga2017SB181","SB181","T. Buford"
12,"ga2017SB189","SB189","T. Buford"
12,"ga2017SB148","SB148","T. Buford"
108,"ga2017SB151","SB151","W. Schroder"
108,"ga2017SB099","SB099","W. Schroder"
108,"ga2017SB200","SB200","W. Schroder"
108,"ga2017SB153","SB153","W. Schroder"
108,"ga2017SB003","SB003","W. Schroder"
108,"ga2017SB075","SB075","W. Schroder"
108,"ga2017SB122","SB122","W. Schroder"
108,"ga2017SB182","SB182","W. Schroder"
108,"ga2017SB224","SB224","W. Schroder"
108,"ga2017SB118","SB118","W. Schroder"
108,"ga2017SB226","SB226","W. Schroder"
108,"ga2017SB014","SB014","W. Schroder"
108,"ga2017SB175","SB175","W. Schroder"
133,"ga2017SB115","SB115","W. Westerfield"
133,"ga2017SB020","SB020","W. Westerfield"
133,"ga2017SB087","SB087","W. Westerfield"
133,"ga2017SB014","SB014","W. Westerfield"
133,"ga2017SB220","SB220","W. Westerfield"
133,"ga2017SB005","SB005","W. Westerfield"
133,"ga2017SB015","SB015","W. Westerfield"
133,"ga2017SB252","SB252","W. Westerfield"
133,"ga2017SB004","SB004","W. Westerfield"
133,"ga2017SB195","SB195","W. Westerfield"
133,"ga2017SB142","SB142","W. Westerfield"
133,"ga2017SB008","SB008","W. Westerfield"
133,"ga2017SB223","SB223","W. Westerfield"
133,"ga2017SB009","SB009","W. Westerfield"
133,"ga2017SB226","SB226","W. Westerfield"
133,"ga2017SB030","SB030","W. Westerfield"
133,"ga2017SB019","SB019","W. Westerfield"
133,"ga2017SB186","SB186","W. Westerfield"
133,"ga2017SB051","SB051","W. Westerfield"
133,"ga2017SB059","SB059","W. Westerfield"
133,"ga2017SB138","SB138","W. Westerfield"
133,"ga2017SB120","SB120","W. Westerfield"
34,"ga2017SB052","SB052","A. Gentry"
34,"ga2017SB178","SB178","A. Gentry"
34,"ga2017SB062","SB062","A. Gentry"
34,"ga2017SB170","SB170","A. Gentry"
34,"ga2017SB411","SB411","A. Gentry"
34,"ga2017SB196","SB196","A. Gentry"
34,"ga2017SB264","SB264","A. Gentry"
34,"ga2017SB179","SB179","A. Gentry"
34,"ga2017SB266","SB266","A. Gentry"
34,"ga2017SB251","SB251","A. Gentry"
34,"ga2017SB241","SB241","A. Gentry"
34,"ga2017SB240","SB240","A. Gentry"
34,"ga2017SB422","SB422","A. Gentry"
45,"ga2017SB455","SB455","A. Hatton"
45,"ga2017SB156","SB156","A. Hatton"
45,"ga2017SB260","SB260","A. Hatton"
45,"ga2017SB170","SB170","A. Hatton"
45,"ga2017SB309","SB309","A. Hatton"
62,"ga2017SB109","SB109","A. Koenig"
62,"ga2017SB100","SB100","A. Koenig"
62,"ga2017SB400","SB400","A. Koenig"
62,"ga2017SB130","SB130","A. Koenig"
62,"ga2017SB292","SB292","A. Koenig"
62,"ga2017SB271","SB271","A. Koenig"
62,"ga2017SB241","SB241","A. Koenig"
62,"ga2017SB162","SB162","A. Koenig"
62,"ga2017SB166","SB166","A. Koenig"
62,"ga2017SB199","SB199","A. Koenig"
62,"ga2017SB026","SB026","A. Koenig"
62,"ga2017SB431","SB431","A. Koenig"
62,"ga2017SB003","SB003","A. Koenig"
62,"ga2017SB142","SB142","A. Koenig"
62,"ga2017SB239","SB239","A. Koenig"
62,"ga2017SB414","SB414","A. Koenig"
62,"ga2017SB183","SB183","A. Koenig"
62,"ga2017SB001","SB001","A. Koenig"
62,"ga2017SB002","SB002","A. Koenig"
62,"ga2017SB413","SB413","A. Koenig"
62,"ga2017SB310","SB310","A. Koenig"
62,"ga2017SB355","SB355","A. Koenig"
62,"ga2017SB160","SB160","A. Koenig"
62,"ga2017SB272","SB272","A. Koenig"
62,"ga2017SB296","SB296","A. Koenig"
62,"ga2017SB332","SB332","A. Koenig"
109,"ga2017SB170","SB170","A. Scott"
109,"ga2017SB201","SB201","A. Scott"
109,"ga2017SB179","SB179","A. Scott"
109,"ga2017SB266","SB266","A. Scott"
109,"ga2017SB196","SB196","A. Scott"
109,"ga2017SB178","SB178","A. Scott"
109,"ga2017SB076","SB076","A. Scott"
109,"ga2017SB280","SB280","A. Scott"
109,"ga2017SB101","SB101","A. Scott"
109,"ga2017SB309","SB309","A. Scott"
109,"ga2017SB148","SB148","A. Scott"
109,"ga2017SB251","SB251","A. Scott"
109,"ga2017SB263","SB263","A. Scott"
112,"ga2017SB170","SB170","A. Simpson"
112,"ga2017SB305","SB305","A. Simpson"
112,"ga2017SB073","SB073","A. Simpson"
112,"ga2017SB166","SB166","A. Simpson"
112,"ga2017SB414","SB414","A. Simpson"
112,"ga2017SB159","SB159","A. Simpson"
112,"ga2017SB145","SB145","A. Simpson"
112,"ga2017SB327","SB327","A. Simpson"
112,"ga2017SB251","SB251","A. Simpson"
112,"ga2017SB368","SB368","A. Simpson"
112,"ga2017SB411","SB411","A. Simpson"
112,"ga2017SB095","SB095","A. Simpson"
112,"ga2017SB292","SB292","A. Simpson"
137,"ga2017SB001","SB001","A. Wuchner"
137,"ga2017SB308","SB308","A. Wuchner"
137,"ga2017SB323","SB323","A. Wuchner"
137,"ga2017SB050","SB050","A. Wuchner"
137,"ga2017SB120","SB120","A. Wuchner"
137,"ga2017SB305","SB305","A. Wuchner"
137,"ga2017SB309","SB309","A. Wuchner"
